,energy,iron_total,helium_total,proton_total,oxygen_total,iron_cut1,helium_cut1,proton_cut1,oxygen_cut1,iron_train,helium_train,proton_train,oxygen_train,iron_validation,helium_validation,proton_validation,oxygen_validation,iron_test,helium_test,proton_test,oxygen_test,iron_final,helium_final,proton_final,oxygen_final
0,6.5,2073,2193,2157,1920,545,588,541,518,382,425,383,375,118,108,106,91,45,55,52,52,118,108,106,91
1,6.65,2038,2474,2229,2432,514,662,667,651,364,471,496,462,98,123,113,120,52,68,58,69,98,123,113,120
2,6.8,2198,2188,2159,2086,584,566,523,540,428,423,381,381,112,83,91,100,44,60,51,59,112,83,91,100
3,6.95,1366,1266,1382,1384,532,442,494,503,388,313,358,366,87,81,81,84,57,48,55,53,87,81,81,84
4,7.1,846,912,956,872,432,422,481,407,310,303,340,290,81,80,81,74,41,39,60,43,81,80,81,74
5,7.25,878,945,906,1042,396,456,411,479,282,326,302,357,73,85,73,71,41,45,36,51,73,85,73,71
6,7.4,952,904,825,950,403,381,353,448,302,273,247,326,62,68,67,72,39,40,39,50,62,68,67,72
7,7.55,1014,925,995,1046,410,340,374,440,291,240,249,310,83,62,72,79,36,38,53,51,83,62,72,79
8,7.7,997,980,969,1002,366,354,285,351,258,257,210,256,71,71,49,60,37,26,26,35,71,71,49,60
9,7.85,1014,934,1097,965,291,245,301,311,199,185,218,223,63,37,45,63,29,23,38,25,63,37,45,63
